Index, Unfiltered_temps, Filtered_temps
0, 38, 84
1, 2146, 38
2, -492, 34
3, 440, 28
4, 907, 21
5, 2307, 14
6, 1357, 7
7, -62, 0
8, 1468, -6
9, 2484, -12
10, 1667, -16
11, 229, -20
12, 2028, -23
13, 3994, -27
14, 2660, -30
15, 1755, -34
16, 2539, -37
17, 4304, -41
18, 2104, -45
19, 2862, -94
20, 2551, -49
21, 4819, -49
22, 3560, -48
23, 2470, -46
24, 3279, -42
25, 4041, -38
26, 2522, -33
27, 1512, -28
28, 2830, -24
29, 4354, -20
30, 3505, -17
31, 1408, -15
32, 2593, -13
33, 3277, 20
34, 2757, -21
35, 2104, -14
36, 2691, -1
37, 4022, 20
38, 2466, 6
39, 1530, -40
40, 1903, 1
41, 2796, 30
42, 913, -1
43, 332, -26
44, 249, -1
45, 1734, 28
46, 276, 4
47, 569, -30
48, 224, -10
49, 1423, 20
50, -53, -16
51, -1322, -6
52, -719, -12
53, -308, 23
54, -797, 3
55, -2132, -13
56, -1334, 0
57, 1029, 14
58, -1697, -9
59, -2702, -46
60, -1970, -2
61, -1858, 24
62, -1987, 28
63, -3282, -21
64, -2297, -3
65, -1561, 7
66, -1992, -4
67, -3248, -26
68, -2801, -3
69, -2346, 19
70, -3331, -2
71, -4623, -12
72, -2386, -2
73, -2255, 18
74, -2906, -12
75, -4269, -24
76, -2446, -10
77, -1783, 15
78, -3193, -6
79, -3997, 0
80, -3783, -3
81, -2361, 19
82, -3220, -1
83, -4363, -16
84, -2664, -3
85, -1885, 6
86, -3139, 1
87, -2275, -18
88, -1856, -6
89, -562, 36
90, -1725, -4
91, -2604, -16
92, -2464, -2
93, -278, 2
94, -973, 2
95, -2061, -16
96, -641, 0
97, 148, 13
98, -591, 6
99, -782, -20
100, -176, -1
101, 1246, 9
102, -263, -8
103, -1544, -24
104, 1586, 11
105, 1793, 12
106, 1388, 1
107, 677, -22
108, 1384, 12
109, 3130, 17
110, 1126, -3
111, 1245, -13
112, 2441, -7
113, 3024, 16
114, 2858, 2
115, 2917, -18
116, 2719, 4
117, 2866, 12
118, 2897, -12
119, 2021, -3
120, 2241, 0
121, 4122, 19
122, 2867, -2
123, 1950, -15
124, 3727, -15
125, 4115, 18
126, 2935, 8
127, 2453, -16
128, 3521, 3
129, 4165, 12
130, 3884, -3
131, 1614, -16
132, 3052, -2
133, 4411, 18
134, 2279, -8
135, 2285, -31
136, 2429, 14
137, 2705, 13
138, 1854, 3
139, 1445, -22
140, 2578, -3
141, 2787, 21
142, 2927, -14
143, 159, -15
144, 1386, 2
145, 2116, 7
146, 1412, 3
147, -964, 4
148, 337, -2
149, 1604, 1
150, -132, 1
151, -1156, -32
152, -64, -18
153, 927, 20
154, -631, -1
155, -2107, -17
156, -391, 9
157, -981, 13
158, -591, -7
159, -2674, -30
160, -1468, 1
161, -904, 11
162, -1059, 8
163, -3251, -26
164, -2333, -1
165, -764, 46
166, -2525, -7
167, -4213, -5
168, -2065, 0
169, -1922, 5
170, -2391, -7
171, -3792, -13
172, -2460, 10
173, -2572, 10
174, -3677, 14
175, -2821, -26
176, -1994, -2
177, -1986, 14
178, -2811, 16
179, -4206, -25
180, -2977, -1
181, -1576, 21
182, -3563, -4
183, -3776, -17
184, -2394, 2
185, -823, 20
186, -2766, -4
187, -2379, -22
188, -2503, 24
189, -1452, 2
190, -1107, 10
191, -2414, -24
192, -1683, 1
193, -279, 22
194, -1284, 11
195, -2383, -22
196, -868, -5
197, -114, 22
198, -233, -3
199, -905, -27
200, 218, 9
201, 632, 13
202, 500, 6
203, -732, -16
204, 789, 5
205, 1909, 2
206, 765, -30
207, -471, -4
208, 1509, 11
209, 2604, 12
210, 1315, 0
211, 898, -21
212, 2086, -1
213, 3646, 21
214, 1909, -11
215, 525, -16
216, 2593, 3
217, 3716, 25
218, 2220, -26
219, 2405, -6
220, 2549, -10
221, 3898, 10
222, 2098, 9
223, 2232, -13
224, 3395, -3
225, 3580, 4
226, 3380, 0
227, 2577, -20
228, 3946, 1
229, 4392, 9
230, 2491, 3
231, 1392, -11
232, 2731, 3
233, 4101, 7
234, 2266, 2
235, 1129, -19
236, 2309, 3
237, 2790, 18
238, 2044, -2
239, 1506, -24
240, 3046, 4
241, 2794, 18
242, 547, -5
243, -754, -14
244, 489, 2
245, 2119, 24
246, 570, -10
247, -502, -29
248, -215, 2
