Index, Unfiltered_temps, Filtered_temps
0, -466, -73
1, 1974, -77
2, -1073, -78
3, 1704, -156
4, 2301, -76
5, 352, -73
6, 2901, -67
7, 2121, -60
8, 928, -54
9, 3671, -42
10, 3314, -31
11, 1645, -19
12, 4271, -7
13, 2739, 6
14, 2114, 18
15, 4638, 30
16, 1889, 41
17, 2154, 50
18, 3955, 58
19, 621, 65
20, 1573, 71
21, 2697, 75
22, 372, 78
23, 1215, 156
24, 1173, 77
25, -1757, 73
26, 952, 67
27, -26, 58
28, -1999, 48
29, -236, 37
30, -1332, 26
31, -2683, 17
32, -706, 11
33, -2094, 8
34, -3272, 8
35, -1494, 14
36, -4167, 15
37, -3450, 21
38, -1572, 27
39, -4323, 32
40, -3151, 36
41, -1456, 40
42, -3575, 43
43, -1649, 45
44, -1143, 92
45, -3195, 94
46, -80, 47
47, -348, 47
48, -2099, 45
49, 307, 42
50, -628, 39
51, -1307, 35
52, 2020, 30
53, 988, 25
54, 1037, 20
55, 3086, 15
56, 929, 9
57, 1254, 4
58, 3889, -1
59, 1158, -6
60, 3392, -11
61, 3693, -15
62, 1723, -22
63, 3071, -46
64, 3676, -27
65, 1065, -32
66, 3201, -37
67, 2771, -41
68, 603, -46
69, 3099, -114
70, 2307, -50
71, 82, -50
72, 2749, -96
73, 613, -44
74, -291, -40
75, 1557, -35
76, -1249, -31
77, -752, -27
78, 301, -23
79, -2925, -19
80, -1569, -16
81, -433, -11
82, -3239, -7
83, -2043, -1
84, -1902, 10
85, -4422, 22
86, -2112, 34
87, -2416, 23
88, -4420, 28
89, -1663, 33
90, -2641, 36
91, -3644, 39
92, -1466, 82
93, -2958, 43
94, -3277, 43
95, 365, 43
96, -1923, 42
97, -1627, 41
98, 539, 39
99, -1500, 74
100, -278, 35
101, 1721, 32
102, -422, 29
103, 1533, 20
104, 2594, 22
105, 99, 17
106, 2969, 12
107, 3086, 5
108, -43, -1
109, 4094, -6
110, 3105, -13
111, 1779, -19
112, 4319, -24
113, 2566, -28
114, 2455, -32
115, 4035, -36
116, 2004, -40
117, 1676, -43
118, 3161, -45
119, 386, -47
120, 1992, -47
121, 2453, -47
122, -510, -46
123, 768, -120
124, 1345, -41
125, -1340, -38
126, 1160, -34
127, -491, -30
128, -2351, -25
129, -278, -20
130, -1950, -14
131, -3577, -8
132, -1043, -2
133, -3003, 4
134, -3348, 10
135, -1587, 15
136, -3875, 20
137, -3543, 24
138, -1560, 28
139, -3792, 32
140, -2906, 36
141, -1558, 39
142, -3934, 42
143, -1779, 45
144, -1401, 47
145, -2578, 96
146, -830, 94
147, -732, 45
148, -2325, 42
149, 803, 38
150, 63, 33
151, -384, 58
152, 1686, 24
153, 249, 20
154, 860, 16
155, 3329, 13
156, 1146, 9
157, 1740, 4
158, 3855, -1
159, 1654, -7
160, 2924, -14
161, 4035, -20
162, 1521, -26
163, 3319, -64
164, 4260, -37
165, 899, -82
166, 3444, -43
167, 3098, -45
168, 827, -46
169, 3654, -47
170, 1680, -47
171, 178, -92
172, 2687, -45
173, 598, -43
174, -638, -41
175, 1253, -38
176, -1086, -34
177, -1059, -30
178, -134, -25
179, -2626, -20
180, -1916, -15
181, -1568, -10
182, -3750, -4
183, -1739, 2
184, -2281, 7
185, -4436, 13
186, -2115, 19
187, -2445, 24
188, -4877, 26
189, -1587, 68
190, -2700, 38
191, -4140, 41
192, -1505, 43
193, -2817, 45
194, -2919, 46
195, -503, 46
196, -2206, 90
197, -1703, 44
198, 445, 42
199, -1875, 40
200, -146, 37
201, 2027, 34
202, -247, 31
203, 1779, 52
204, 1999, 42
205, 99, 16
206, 2913, 9
207, 2870, 3
208, 1475, -4
209, 3814, -22
210, 2642, -34
211, 1924, -46
212, 5198, -29
213, 2174, -34
214, 2483, -38
215, 4563, -42
216, 1783, -44
217, 2584, -46
218, 4092, -47
219, 620, -48
220, 1460, -48
221, 2814, -48
222, -180, -47
223, 1179, -45
224, 734, -86
225, -1463, -80
226, 515, -37
227, -144, -33
228, -2754, -28
229, -19, -22
230, -2053, -16
231, -3285, -10
232, -945, -3
233, -2554, 3
234, -3289, 10
235, -1264, 15
236, -4060, 21
237, -2725, 25
238, -1565, 30
239, -4462, 68
240, -2736, 37
241, -1450, 41
242, -4060, 40
